TIPO,DIRECCION,IDENTIFICADOR,"CODIGO,N,8,0","CODNDP,N,19,0",AREA,PERIMETRO,DISTRITO,BARRIO,LATITUD,LONGITUD
AREA DE MAYORES,CALLE CANARIAS 17,3485,402001,11010094,"295,346","69,12",ARGANZUELA,PALOS DE MOGUER,40.402.191,-3.695.649
AREA DE MAYORES,CALLE GASOMETRO 32,9969,402003,31044316,"58,122","28,62",ARGANZUELA,ACACIAS,40.402.437,-3.707.992
AREA DE MAYORES,RONDA SEGOVIA 48,9972,402002,20184196,"57,992","31,28",ARGANZUELA,IMPERIAL,40.407.153,-3.713.662
AREA DE MAYORES,CALLE TEJO 5,12215,402004,20139391,0,0,ARGANZUELA,ATOCHA,4.039.705,-367.765
AREA DE MAYORES,CALLE PUERTO DE BEJAR 3,12883,402007,20000289,0,0,ARGANZUELA,LEGAZPI,40.387.563,-3.688.315
AREA DE MAYORES,CALLE PARROCO EUSEBIO CUENCA 13,12828,402005,31041801,0,0,ARGANZUELA,DELICIAS,40.395.039,-3.687.989
AREA DE MAYORES,PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS 15,12914,402006,31041998,0,0,ARGANZUELA,ACACIAS,40.401.085,-3.705.137
AREA DE MAYORES,CALLE BAHIA DE SANTA POLA 56,13102,494001,20148724,0,0,BARAJAS,CORRALEJOS,40.467.467,-3.593.134
AREA DE MAYORES,CALLE BERGANTIN 26,13229,9900012,31043159,0,0,BARAJAS,ALAMEDA DE OSUNA,40.459.246,-3.582.808
AREA DE MAYORES,CALLE ACUARIO 27,7505,421007,11140825,"77,852",40.8,BARAJAS,CASCO HIST�RICO DE BARAJAS,40.474.591,-3.579.973
AREA DE MAYORES,CALLE NORAY 3,11035,421004,20047389,0,0,BARAJAS,ALAMEDA DE OSUNA,40.450.905,-3.596.759
AREA DE MAYORES,CALLE PRADOLUENGO 123,11023,421005,11140190,0,0,BARAJAS,AEROPUERTO,40.451.065,-3.583.397
AREA DE MAYORES,CALLE AYERBE 12,4873,421002,11140553,"83,665","36,42",BARAJAS,CASCO HIST�RICO DE BARAJAS,40.468.351,-3.580.727
AREA DE MAYORES,CALLE ALAS 2,7256,421006,11141161,"77,852",40.8,BARAJAS,TIM�N,4.047.197,-358.499
AREA DE MAYORES,CALLE BAHIA DE SANTOA 6,9952,421003,31008417,"122,621","44,25",BARAJAS,CORRALEJOS,40.465.949,-3.589.778
AREA DE MAYORES,CALLE CARABELA 7,4825,421004,20107539,0,0,BARAJAS,ALAMEDA DE OSUNA,40.455.161,-358.711
AREA DE MAYORES,PLAZA SAN VICENTE DE PAUL 5,13065,411015,11079239,0,0,CARABANCHEL,ABRANTES,40.385.425,-3.726.335
AREA DE MAYORES,CALLE ANTONIO DE LEYVA 35,8101,411001,31044608,"106,466","41,33",CARABANCHEL,COMILLAS,40.392.251,-3.714.617
AREA DE MAYORES,AVENIDA NUESTRA SEORA DE VALVANERA 117,9863,411010,11074192,"724,916","107,99",CARABANCHEL,VISTA ALEGRE,40.392.487,-3.740.672
AREA DE MAYORES,CALLE PORTALEGRE 73,3613,411004,11070164,"97,347","44,15",CARABANCHEL,OPA�EL,4.038.576,-3.723.105
AREA DE MAYORES,PLAZA CANTORIA 1,10079,411007,20021306,"53,433",40.12,CARABANCHEL,OPA�EL,40.392.685,-3.722.787
AREA DE MAYORES,CALLE NUESTRA SEORA DE LA LUZ 9,2950,411006,20168099,0,0,CARABANCHEL,VISTA ALEGRE,40.382.744,-3.742.658
AREA DE MAYORES,CALLE GENERAL RICARDOS 126,4217,411013,31028689,0,0,CARABANCHEL,SAN ISIDRO,40.391.786,-3.727.177
AREA DE MAYORES,CALLE GENERAL RICARDOS 155,11028,411009,31028659,0,0,CARABANCHEL,OPA�EL,4.038.823,-3.731.388
AREA DE MAYORES,CALLE PARQUE EUGENIA DE MONTIJO 1,2868,411003,31044609,"131,286","45,2",CARABANCHEL,VISTA ALEGRE,40.378.912,-3.754.322
AREA DE MAYORES,CALLE PARQUE EUGENIA DE MONTIJO 42,2892,411008,11074955,0,0,CARABANCHEL,VISTA ALEGRE,40.379.394,-3.751.497
AREA DE MAYORES,CALLE MONSEOR OSCAR ROMERO 77,2925,411012,31050695,0,0,CARABANCHEL,VISTA ALEGRE,40.382.037,-3.750.512
AREA DE MAYORES,CALLE VIA LUSITANA 1,4090,411011,11078650,"194,696","55,25",CARABANCHEL,ABRANTES,40.382.536,-3.720.394
AREA DE MAYORES,CALLE VIA LUSITANA 19,8254,411002,20024802,"229,346","61,56",CARABANCHEL,ABRANTES,40.376.863,-3.726.489
AREA DE MAYORES,CALLE CARONTE 16,4198,411005,31014178,0,0,CARABANCHEL,SAN ISIDRO,40.397.429,-3.725.521
AREA DE MAYORES,CALLE MARQUES DE LA ENSENADA 1,13193,401008,20128851,0,0,CENTRO,JUSTICIA,40.424.226,-3.694.418
AREA DE MAYORES,CUESTA SANTO DOMINGO 22,5619,401004,11000189,0,0,CENTRO,PALACIO,404.201,-3.708.452
AREA DE MAYORES,PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA 1,5629,401002,31037270,"3,499","11,98",CENTRO,UNIVERSIDAD,40.420.897,-3.704.868
AREA DE MAYORES,GLORIETA PUERTA DE TOLEDO 1,5567,401005,20105763,"137,696","47,7",CENTRO,EMBAJADORES,40.407.288,-371.071
AREA DE MAYORES,CALLE EMBAJADORES 66,5544,401006,31047998,"223,688","59,8",CENTRO,EMBAJADORES,404.067,-3.704.209
AREA DE MAYORES,PLAZA SANTA BARBARA 7,7341,401007,20103471,"60,641","31,59",CENTRO,JUSTICIA,40.427.175,-3.696.187
AREA DE MAYORES,PLAZA SANTA BARBARA 8,10126,401003,11005154,"143,587","47,92",CENTRO,JUSTICIA,40.427.119,-3.703.772
AREA DE MAYORES,PLAZA COMENDADORAS 9,5608,401001,11006381,"169,407","53,43",CENTRO,UNIVERSIDAD,40.427.238,-370.919
AREA DE MAYORES,CALLE SEGOVIA 30,12983,9900015,31047537,0,0,CENTRO,PALACIO,40.414.222,-3.719.947
AREA DE MAYORES,CALLE VICTOR DE LA SERNA 25,12834,405008,11025171,0,0,CHAMART�N,HISPANOAM�RICA,40.455.353,-3.672.315
AREA DE MAYORES,PLAZA ANDRES MANJON 7,12910,405006,11027371,0,0,CHAMART�N,CASTILLA,40.478.305,-3.685.125
AREA DE MAYORES,CALLE PUENTEAREAS 20,13199,405007,31021351,0,0,CHAMART�N,PROSPERIDAD,40.444.119,-3.668.846
AREA DE MAYORES,CALLE PECHUAN 1,13259,405009,20103056,0,0,CHAMART�N,CIUDAD JARD�N,40.444.786,-367.708
AREA DE MAYORES,CALLE SANTA RITA 1,9148,405001,31026122,"120,869","45,92",CHAMART�N,PROSPERIDAD,40.446.069,-3.668.712
AREA DE MAYORES,CALLE PADRE CLARET 38,10541,405004,31041818,"28,607","22,77",CHAMART�N,PROSPERIDAD,40.452.014,-3.664.647
AREA DE MAYORES,CALLE VINAROZ 29,11026,405005,11024027,0,0,CHAMART�N,CIUDAD JARD�N,40.448.127,-3.677.209
AREA DE MAYORES,CALLE DOCTOR MARCO CORERA 2,3212,405003,31052956,0,0,CHAMART�N,CIUDAD JARD�N,40.449.845,-3.676.109
AREA DE MAYORES,PASEO CASTELLANA 300,6938,405002,20151190,"198,412","61,21",CHAMART�N,CASTILLA,40.480.318,-3.685.151
AREA DE MAYORES,CALLE RODRIGUEZ SAN PEDRO 3,13057,407006,31041841,0,0,CHAMBERI,ARAPILES,4.043.132,-3.707.128
AREA DE MAYORES,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 28,3596,407004,31047945,"142,944","48,13",CHAMBERI,RIOS ROSAS,40.446.315,-3.699.319
AREA DE MAYORES,CALLE BRAVO MURILLO 49,3991,407002,31044176,"171,295","52,76",CHAMBERI,VALLEHERMOSO,40.438.962,-3.704.922
AREA DE MAYORES,CALLE BLASCO DE GARAY 38,5603,407003,31008009,"67,479","37,43",CHAMBERI,ARAPILES,4.043.353,-3.711.454
AREA DE MAYORES,PLAZA OLAVIDE 17,3905,407001,31048931,"91,926","39,41",CHAMBERI,TRAFALGAR,40.432.941,-3.701.222
AREA DE MAYORES,CALLE DOMENICO SCARLATTI 2,12216,407005,11042753,0,0,CHAMBERI,VALLEHERMOSO,40.442,-3.716.131
AREA DE MAYORES,CALLE EZEQUIEL SOLANA 41,13190,9920002,11105576,0,0,CIUDAD LINEAL,PUEBLO NUEVO,40.431.085,-3.644.975
AREA DE MAYORES,CALLE MISTERIOS 13,13256,9900003,11108210,0,0,CIUDAD LINEAL,QUINTANA,40.438.838,-3.640.072
AREA DE MAYORES,CALLE JAZMIN 3,13257,9900010,20134674,0,0,CIUDAD LINEAL,COSTILLARES,40.478.015,-3.667.802
AREA DE MAYORES,CALLE DOCTOR CIRAJAS 1,8228,415002,31032470,"188,234","54,36",CIUDAD LINEAL,PUEBLO NUEVO,40.435.647,-3.638.219
AREA DE MAYORES,CALLE JOSE DEL HIERRO 3,3318,415003,20094445,"221,809","59,02",CIUDAD LINEAL,CONCEPCI�N,40.436.106,-3.651.054
AREA DE MAYORES,AVENIDA MARQUES DE CORBERA 4,5902,415001,20167853,"66,448","32,64",CIUDAD LINEAL,VENTAS,40.421.805,-3.656.387
AREA DE MAYORES,CALLE SAN BALDOMERO 16,12214,415004,11107039,0,0,CIUDAD LINEAL,PUEBLO NUEVO,40.423.438,-3.638.167
AREA DE MAYORES,PASEO VAGUADA 13,11024,408002,20095218,"436,863","99,22",FUENCARRAL - ELPARDO,PILAR,40.479.481,-3.710.376
AREA DE MAYORES,PLAZA TRES OLIVOS 26,13060,408013,20150231,0,0,FUENCARRAL - ELPARDO,VALVERDE,40.500.923,-3.690.223
AREA DE MAYORES,CALLE ANTONIO LOPEZ AGUADO 3,13186,408011,11046923,0,0,FUENCARRAL - ELPARDO,LA PAZ,40.481.727,-3.701.294
AREA DE MAYORES,CALLE FERMIN CABALLERO 17,13187,408012,31033930,0,0,FUENCARRAL - ELPARDO,LA PAZ,40.485.826,-3.701.228
AREA DE MAYORES,PLAZA FONSAGRADA 6,2651,408004,31045309,0,0,FUENCARRAL - ELPARDO,PILAR,40.476.686,-3.708.367
AREA DE MAYORES,CALLE MADERUELO 15,8104,408003,11047736,"75,176",40.88,FUENCARRAL - ELPARDO,VALVERDE,40.492.388,-3.687.828
AREA DE MAYORES,CALLE FRESNEDILLAS 12,4502,408005,20167454,"157,49","48,83",FUENCARRAL - ELPARDO,FUENTELAREINA,40.479.192,-3.739.949
AREA DE MAYORES,CALLE GABRIELA MISTRAL 12,10034,408006,11051271,"112,008","42,29",FUENCARRAL - ELPARDO,PE�AGRANDE,40.481.998,-3.737.518
AREA DE MAYORES,CALLE MIRADOR DE LA REINA 137,6279,408007,31049540,"49,015","28,99",FUENCARRAL - ELPARDO,MIRASIERRA,40.490.879,-3.716.653
